state,0,1,2,3
0,0.9244654479058025,0.9498188798878195,0.9295626791554191,0.9172657243347472
1,0.9355214142782102,0.9485885598750003,0.9445207298326539,0.9605960100000133
2,0.9450463620881269,-5.0,0.953373483609025,0.9686737085427154
3,0.0,0.0,0.0,0.0
4,0.9383941551993389,0.9593152153200097,0.9361002628329957,0.9313022360169221
5,0.9089175114078458,0.9699096344302078,0.9442454396170216,0.9377492037515793
6,0.9492280098816566,0.9363645569620216,0.9547387172560976,0.9801000000000861
7,0.9637869261744961,0.9737357142857104,-5.0,0.9898743157894805
8,0.9547027829447854,0.9330943405295117,0.9445644414547306,0.9702989999999908
9,0.9605960100000012,0.980099999999994,0.930646368063659,0.9800999999999941
10,0.9701840657732151,0.9899999999998862,0.9702990000000002,0.9899066303317556
11,0.9799654897241343,0.9899999999999997,0.9799845917751439,1.0
12,0.9701232753012263,0.9800999999999934,0.9605960100000017,0.9699350144069465
13,0.9702989999999992,0.9899999999999999,0.9702990000000004,0.9448307027240731
14,0.9800999999999959,1.0,0.9800999999999962,0.9900000000000005
15,0.0,0.0,0.0,0.0
